"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 06 12:39:21 GMT 2023","Thu Jul 06 12:39:21 GMT 2023","70","Spotify App Test Regression Suite","Home Page Test_chrome","org.sel.spotify.tests.UI.HomePageTests","org.sel.spotify.tests.UI.HomePageTests","homePageTitleTest","homePageTitleTest","checking home page title test..."
"skipped","Thu Jun 22 11:19:25 GMT 2023","Thu Jun 22 11:19:25 GMT 2023","0","Default Suite","spotifyTests","org.sel.spotify.tests.HomePageTests","org.sel.spotify.tests.HomePageTests","gotoSearchSection","gotoSearchSection",""
"passed","Thu Jul 06 12:33:10 GMT 2023","Thu Jul 06 12:33:10 GMT 2023","72","Opencart App Test Regression Suite","Home Page Test_chrome","org.sel.spotify.tests.UI.HomePageTests","org.sel.spotify.tests.UI.HomePageTests","homePageTitleTest","homePageTitleTest","checking home page title test..."
"passed","Thu Jul 06 12:39:13 GMT 2023","Thu Jul 06 12:39:14 GMT 2023","432","Spotify App Test Regression Suite","Home Page Test_chrome","org.sel.spotify.tests.UI.HomePageTests","org.sel.spotify.tests.UI.HomePageTests","getHeadingsTests","getHeadingsTests",""
"skipped","Thu Jul 06 15:28:47 GMT 2023","Thu Jul 06 15:28:47 GMT 2023","1","Spotify App Test Regression Suite","Spotify Home Page","org.sel.spotify.tests.UI.HomePageTests","org.sel.spotify.tests.UI.HomePageTests","getHeadingsTests","getHeadingsTests",""
"broken","Fri Jun 09 05:41:30 GMT 2023","Fri Jun 09 05:41:30 GMT 2023","5","Default Suite","spotifyTests","org.sel.spotify.tests.HomePageTests","org.sel.spotify.tests.HomePageTests","setup","setup",""
"passed","Fri Jun 09 08:12:54 GMT 2023","Fri Jun 09 08:12:54 GMT 2023","162","Default Suite","spotifyTests","org.sel.spotify.tests.HomePageTests","org.sel.spotify.tests.HomePageTests","gotoSeachSection","gotoSeachSection",""
"passed","Thu Jun 22 14:01:28 GMT 2023","Thu Jun 22 14:01:28 GMT 2023","577","Default Suite","spotifyTests","org.sel.spotify.tests.API.basicAPITest","org.sel.spotify.tests.API.basicAPITest","searchSongsFromSameArtist","searchSongsFromSameArtist",""
"broken","Thu Jun 22 11:00:23 GMT 2023","Thu Jun 22 11:00:23 GMT 2023","2","Default Suite","spotifyTests","org.sel.spotify.tests.HomePageTests","org.sel.spotify.tests.HomePageTests","setup","setup",""
"skipped","Thu Jul 06 15:28:47 GMT 2023","Thu Jul 06 15:28:47 GMT 2023","27","Spotify App Test Regression Suite","Spotify Home Page","org.sel.spotify.tests.UI.HomePageTests","org.sel.spotify.tests.UI.HomePageTests","homePageTitleTest","homePageTitleTest","Spotify checking home page title test..."
"passed","Thu Jul 06 12:38:56 GMT 2023","Thu Jul 06 12:38:56 GMT 2023","183","Spotify App Test Regression Suite","Home Page Test_chrome","org.sel.spotify.tests.UI.HomePageTests","org.sel.spotify.tests.UI.HomePageTests","gotoSearchSection","gotoSearchSection",""
